Newsnet DCH	2016-10	Page Impressions	126349317
Newsnet DCH	2016-10	Unique Clients	3060000
Newsnet DCH	2016-10	Visits	25441131
Newsnet DCH	2016-11	Page Impressions	129122839
Newsnet DCH	2016-11	Unique Clients	3555000
Newsnet DCH	2016-11	Visits	26054226
Newsnet DCH	2016-12	Page Impressions	123284316
Newsnet DCH	2016-12	Unique Clients	3378000
Newsnet DCH	2016-12	Visits	24593845
Newsnet DCH	2017-01	Page Impressions	141811590
Newsnet DCH	2017-01	Unique Clients	3512000
Newsnet DCH	2017-01	Visits	25865660
Newsnet DCH	2017-02	Page Impressions	122313201
Newsnet DCH	2017-02	Unique Clients	3278000
Newsnet DCH	2017-02	Visits	23448730
Newsnet DCH	2017-03	Page Impressions	128364256
Newsnet DCH	2017-03	Unique Clients	3480000
Newsnet DCH	2017-03	Visits	24965398
Newsnet DCH	2017-04	Page Impressions	114184093
Newsnet DCH	2017-04	Unique Clients	3110000
Newsnet DCH	2017-04	Visits	22736555
Newsnet DCH	2017-05	Page Impressions	131822955
Newsnet DCH	2017-05	Unique Clients	3313000
Newsnet DCH	2017-05	Visits	24685008
Newsnet DCH	2017-06	Page Impressions	122472542
Newsnet DCH	2017-06	Unique Clients	3253000
Newsnet DCH	2017-06	Visits	23443129
Newsnet DCH	2017-07	Page Impressions	126046580
Newsnet DCH	2017-07	Unique Clients	3127000
Newsnet DCH	2017-07	Visits	22466133
Newsnet DCH	2017-08	Page Impressions	131296791
Newsnet DCH	2017-08	Unique Clients	3232000
Newsnet DCH	2017-08	Visits	23543155
Newsnet DCH	2017-09	Page Impressions	110291447
Newsnet DCH	2017-09	Unique Clients	3061000
Newsnet DCH	2017-09	Visits	21655251
Newsnet DCH	2017-10	Page Impressions	105368701
Newsnet DCH	2017-10	Unique Clients	3084000
Newsnet DCH	2017-10	Visits	21638816
NZZ-Netz	2016-10	Page Impressions	89408339
NZZ-Netz	2016-10	Unique Clients	3800000
NZZ-Netz	2016-10	Visits	20399635
NZZ-Netz	2016-11	Page Impressions	92597287
NZZ-Netz	2016-11	Unique Clients	3953000
NZZ-Netz	2016-11	Visits	21347569
NZZ-Netz	2016-12	Page Impressions	86265640
NZZ-Netz	2016-12	Unique Clients	3710000
NZZ-Netz	2016-12	Visits	20132000
NZZ-Netz	2017-01	Page Impressions	99998596
NZZ-Netz	2017-01	Unique Clients	4084000
NZZ-Netz	2017-01	Visits	22400249
NZZ-Netz	2017-02	Page Impressions	89749615
NZZ-Netz	2017-02	Unique Clients	3827000
NZZ-Netz	2017-02	Visits	20399515
NZZ-Netz	2017-03	Page Impressions	97203761
NZZ-Netz	2017-03	Unique Clients	4049000
NZZ-Netz	2017-03	Visits	22634434
NZZ-Netz	2017-04	Page Impressions	95065310
NZZ-Netz	2017-04	Unique Clients	3991000
NZZ-Netz	2017-04	Visits	22778578
NZZ-Netz	2017-05	Page Impressions	108910157
NZZ-Netz	2017-05	Unique Clients	4427000
NZZ-Netz	2017-05	Visits	25168568
NZZ-Netz	2017-06	Page Impressions	104874675
NZZ-Netz	2017-06	Unique Clients	4234000
NZZ-Netz	2017-06	Visits	23944276
NZZ-Netz	2017-07	Page Impressions	119793365
NZZ-Netz	2017-07	Unique Clients	4332000
NZZ-Netz	2017-07	Visits	24625431
NZZ-Netz	2017-08	Page Impressions	121509792
NZZ-Netz	2017-08	Unique Clients	4563000
NZZ-Netz	2017-08	Visits	26153184
NZZ-Netz	2017-09	Page Impressions	118258766
NZZ-Netz	2017-09	Unique Clients	4568000
NZZ-Netz	2017-09	Visits	25859787
NZZ-Netz	2017-10	Page Impressions	110045172
NZZ-Netz	2017-10	Unique Clients	4560000
NZZ-Netz	2017-10	Visits	25856990
20 min	2016-10	CH PIs	90-94%
20 min	2016-10	CH Visits	90-94%
20 min	2016-10	PI/Visits	10.8
20 min	2016-10	Page Impressions	841171201
20 min	2016-10	Unique Clients	4493000
20 min	2016-10	Nutzungsdauer	0:07:08
20 min	2016-10	Visits	77895356
20 min	2016-10	Visits/UCs	17.3
20 min	2016-11	CH PIs	90-94%
20 min	2016-11	CH Visits	90-94%
20 min	2016-11	PI/Visits	10.8
20 min	2016-11	Page Impressions	869739286
20 min	2016-11	Unique Clients	4677000
20 min	2016-11	Nutzungsdauer	0:07:09
20 min	2016-11	Visits	80361171
20 min	2016-11	Visits/UCs	17.2
20 min	2016-12	CH PIs	90-94%
20 min	2016-12	CH Visits	90-94%
20 min	2016-12	PI/Visits	11.3
20 min	2016-12	Page Impressions	943062531
20 min	2016-12	Unique Clients	4658000
20 min	2016-12	Nutzungsdauer	0:07:02
20 min	2016-12	Visits	83168433
20 min	2016-12	Visits/UCs	17.9
20 min	2017-01	CH PIs	90-94%
20 min	2017-01	CH Visits	90-94%
20 min	2017-01	PI/Visits	12.1
20 min	2017-01	Page Impressions	1099342015
20 min	2017-01	Unique Clients	4871000
20 min	2017-01	Nutzungsdauer	0:07:19
20 min	2017-01	Visits	90557303
20 min	2017-01	Visits/UCs	18.6
20 min	2017-02	CH PIs	90-94%
20 min	2017-02	CH Visits	90-94%
20 min	2017-02	PI/Visits	11.0
20 min	2017-02	Page Impressions	872608215
20 min	2017-02	Unique Clients	4601000
20 min	2017-02	Nutzungsdauer	0:07:24
20 min	2017-02	Visits	79661711
20 min	2017-02	Visits/UCs	17.3
20 min	2017-03	CH PIs	90-94%
20 min	2017-03	CH Visits	90-94%
20 min	2017-03	PI/Visits	10.8
20 min	2017-03	Page Impressions	933713057
20 min	2017-03	Unique Clients	4777000
20 min	2017-03	Nutzungsdauer	0:07:13
20 min	2017-03	Visits	86628354
20 min	2017-03	Visits/UCs	18.1
20 min	2017-04	CH PIs	90-94%
20 min	2017-04	CH Visits	90-94%
20 min	2017-04	PI/Visits	11.0
20 min	2017-04	Page Impressions	901313954
20 min	2017-04	Unique Clients	4583000
20 min	2017-04	Nutzungsdauer	0:07:14
20 min	2017-04	Visits	82036752
20 min	2017-04	Visits/UCs	17.9
20 min	2017-05	CH PIs	90-94%
20 min	2017-05	CH Visits	90-94%
20 min	2017-05	PI/Visits	11.2
20 min	2017-05	Page Impressions	957115491
20 min	2017-05	Unique Clients	4569000
20 min	2017-05	Nutzungsdauer	0:07:13
20 min	2017-05	Visits	85759443
20 min	2017-05	Visits/UCs	18.8
20 min	2017-06	CH PIs	90-94%
20 min	2017-06	CH Visits	90-94%
20 min	2017-06	PI/Visits	11.0
20 min	2017-06	Page Impressions	932218826
20 min	2017-06	Unique Clients	4517000
20 min	2017-06	Nutzungsdauer	0:07:13
20 min	2017-06	Visits	84670006
20 min	2017-06	Visits/UCs	18.7
20 min	2017-07	CH PIs	85-89%
20 min	2017-07	CH Visits	85-89%
20 min	2017-07	PI/Visits	11.1
20 min	2017-07	Page Impressions	957842630
20 min	2017-07	Unique Clients	4635000
20 min	2017-07	Nutzungsdauer	0:07:19
20 min	2017-07	Visits	86150970
20 min	2017-07	Visits/UCs	18.6
20 min	2017-08	CH PIs	90-94%
20 min	2017-08	CH Visits	90-94%
20 min	2017-08	PI/Visits	11.4
20 min	2017-08	Page Impressions	1037581295
20 min	2017-08	Unique Clients	4771000
20 min	2017-08	Nutzungsdauer	0:07:20
20 min	2017-08	Visits	91283004
20 min	2017-08	Visits/UCs	19.1
20 min	2017-09	CH PIs	90-94%
20 min	2017-09	CH Visits	90-94%
20 min	2017-09	PI/Visits	9.9
20 min	2017-09	Page Impressions	874322806
20 min	2017-09	Unique Clients	4729000
20 min	2017-09	Nutzungsdauer	0:07:09
20 min	2017-09	Visits	88519071
20 min	2017-09	Visits/UCs	18.7
20 min	2017-10	CH PIs	90-94%
20 min	2017-10	CH Visits	90-94%
20 min	2017-10	PI/Visits	10.5
20 min	2017-10	Page Impressions	926531485
20 min	2017-10	Unique Clients	4783000
20 min	2017-10	Nutzungsdauer	0:07:04
20 min	2017-10	Visits	88034301
20 min	2017-10	Visits/UCs	18.4
BAZ	2016-10	CH PIs	80-84%
BAZ	2016-10	CH Visits	75-79%
BAZ	2016-10	PI/Visits	5.4
BAZ	2016-10	Page Impressions	21462068
BAZ	2016-10	Unique Clients	478000
BAZ	2016-10	Nutzungsdauer	0:09:38
BAZ	2016-10	Visits	3994700
BAZ	2016-10	Visits/UCs	8.4
BAZ	2016-11	CH PIs	80-84%
BAZ	2016-11	CH Visits	80-84%
BAZ	2016-11	PI/Visits	5.3
BAZ	2016-11	Page Impressions	20341950
BAZ	2016-11	Unique Clients	557000
BAZ	2016-11	Nutzungsdauer	0:06:44
BAZ	2016-11	Visits	3827233
BAZ	2016-11	Visits/UCs	6.9
BAZ	2016-12	CH PIs	80-84%
BAZ	2016-12	CH Visits	75-79%
BAZ	2016-12	PI/Visits	5.2
BAZ	2016-12	Page Impressions	19307056
BAZ	2016-12	Unique Clients	540000
BAZ	2016-12	Nutzungsdauer	0:05:37
BAZ	2016-12	Visits	3747897
BAZ	2016-12	Visits/UCs	6.9
BAZ	2017-01	CH PIs	80-84%
BAZ	2017-01	CH Visits	75-79%
BAZ	2017-01	PI/Visits	5.6
BAZ	2017-01	Page Impressions	22504591
BAZ	2017-01	Unique Clients	614000
BAZ	2017-01	Nutzungsdauer	0:06:00
BAZ	2017-01	Visits	3986441
BAZ	2017-01	Visits/UCs	6.5
BAZ	2017-02	CH PIs	80-84%
BAZ	2017-02	CH Visits	75-79%
BAZ	2017-02	PI/Visits	5.3
BAZ	2017-02	Page Impressions	19208345
BAZ	2017-02	Unique Clients	569000
BAZ	2017-02	Nutzungsdauer	0:05:58
BAZ	2017-02	Visits	3634348
BAZ	2017-02	Visits/UCs	6.4
BAZ	2017-03	CH PIs	80-84%
BAZ	2017-03	CH Visits	75-79%
BAZ	2017-03	PI/Visits	5.6
BAZ	2017-03	Page Impressions	21660981
BAZ	2017-03	Unique Clients	557000
BAZ	2017-03	Nutzungsdauer	0:05:59
BAZ	2017-03	Visits	3849826
BAZ	2017-03	Visits/UCs	6.9
BAZ	2017-04	CH PIs	80-84%
BAZ	2017-04	CH Visits	75-79%
BAZ	2017-04	PI/Visits	5.3
BAZ	2017-04	Page Impressions	19164024
BAZ	2017-04	Unique Clients	526000
BAZ	2017-04	Nutzungsdauer	0:05:59
BAZ	2017-04	Visits	3616273
BAZ	2017-04	Visits/UCs	6.9
BAZ	2017-05	CH PIs	80-84%
BAZ	2017-05	CH Visits	75-79%
BAZ	2017-05	PI/Visits	5.7
BAZ	2017-05	Page Impressions	22252757
BAZ	2017-05	Unique Clients	557000
BAZ	2017-05	Nutzungsdauer	0:06:02
BAZ	2017-05	Visits	3901519
BAZ	2017-05	Visits/UCs	7.0
BAZ	2017-06	CH PIs	75-79%
BAZ	2017-06	CH Visits	75-79%
BAZ	2017-06	PI/Visits	5.4
BAZ	2017-06	Page Impressions	20995221
BAZ	2017-06	Unique Clients	603000
BAZ	2017-06	Nutzungsdauer	0:05:54
BAZ	2017-06	Visits	3921714
BAZ	2017-06	Visits/UCs	6.5
BAZ	2017-07	CH PIs	75-79%
BAZ	2017-07	CH Visits	70-74%
BAZ	2017-07	PI/Visits	6.0
BAZ	2017-07	Page Impressions	22306680
BAZ	2017-07	Unique Clients	535000
BAZ	2017-07	Nutzungsdauer	0:06:08
BAZ	2017-07	Visits	3747320
BAZ	2017-07	Visits/UCs	7.0
BAZ	2017-08	CH PIs	75-79%
BAZ	2017-08	CH Visits	70-74%
BAZ	2017-08	PI/Visits	5.6
BAZ	2017-08	Page Impressions	23710570
BAZ	2017-08	Unique Clients	652000
BAZ	2017-08	Nutzungsdauer	0:05:52
BAZ	2017-08	Visits	4248797
BAZ	2017-08	Visits/UCs	6.5
BAZ	2017-09	CH PIs	75-79%
BAZ	2017-09	CH Visits	75-79%
BAZ	2017-09	PI/Visits	5.1
BAZ	2017-09	Page Impressions	20194378
BAZ	2017-09	Unique Clients	597000
BAZ	2017-09	Nutzungsdauer	0:06:12
BAZ	2017-09	Visits	3949567
BAZ	2017-09	Visits/UCs	6.6
BAZ	2017-10	CH PIs	75-79%
BAZ	2017-10	CH Visits	70-74%
BAZ	2017-10	PI/Visits	4.7
BAZ	2017-10	Page Impressions	20159049
BAZ	2017-10	Unique Clients	710000
BAZ	2017-10	Nutzungsdauer	0:05:54
BAZ	2017-10	Visits	4280954
BAZ	2017-10	Visits/UCs	6.0
Blick	2016-09	CH PIs	90-94%
Blick	2016-09	CH Visits	85-89%
Blick	2016-09	PI/Visits	12.8
Blick	2016-09	Page Impressions	758698604
Blick	2016-09	Unique Clients	4386000
Blick	2016-09	Nutzungsdauer	0:06:15
Blick	2016-09	Visits	59333530
Blick	2016-09	Visits/UCs	13.5
Blick	2016-10	CH PIs	90-94%
Blick	2016-10	CH Visits	85-89%
Blick	2016-10	PI/Visits	13.2
Blick	2016-10	Page Impressions	790260112
Blick	2016-10	Unique Clients	4678000
Blick	2016-10	Nutzungsdauer	0:06:16
Blick	2016-10	Visits	60026709
Blick	2016-10	Visits/UCs	12.8
Blick	2016-11	CH PIs	90-94%
Blick	2016-11	CH Visits	85-89%
Blick	2016-11	PI/Visits	12.4
Blick	2016-11	Page Impressions	736546963
Blick	2016-11	Unique Clients	4636000
Blick	2016-11	Nutzungsdauer	0:06:14
Blick	2016-11	Visits	59515180
Blick	2016-11	Visits/UCs	12.8
Blick	2016-12	CH PIs	90-94%
Blick	2016-12	CH Visits	85-89%
Blick	2016-12	PI/Visits	12.5
Blick	2016-12	Page Impressions	735698735
Blick	2016-12	Unique Clients	4436000
Blick	2016-12	Nutzungsdauer	0:05:57
Blick	2016-12	Visits	58936040
Blick	2016-12	Visits/UCs	13.3
Blick	2017-01	CH PIs	90-94%
Blick	2017-01	CH Visits	85-89%
Blick	2017-01	PI/Visits	12.4
Blick	2017-01	Page Impressions	779164805
Blick	2017-01	Unique Clients	4840000
Blick	2017-01	Nutzungsdauer	0:06:10
Blick	2017-01	Visits	62759227
Blick	2017-01	Visits/UCs	13.0
Blick	2017-02	CH PIs	90-94%
Blick	2017-02	CH Visits	85-89%
Blick	2017-02	PI/Visits	12.2
Blick	2017-02	Page Impressions	675704401
Blick	2017-02	Unique Clients	4503000
Blick	2017-02	Nutzungsdauer	0:06:15
Blick	2017-02	Visits	55583491
Blick	2017-02	Visits/UCs	12.3
Blick	2017-03	CH PIs	90-94%
Blick	2017-03	CH Visits	85-89%
Blick	2017-03	PI/Visits	12.2
Blick	2017-03	Page Impressions	740968034
Blick	2017-03	Unique Clients	4669000
Blick	2017-03	Nutzungsdauer	0:06:07
Blick	2017-03	Visits	60534669
Blick	2017-03	Visits/UCs	13.0
Blick	2017-04	CH PIs	90-94%
Blick	2017-04	CH Visits	85-89%
Blick	2017-04	PI/Visits	12.1
Blick	2017-04	Page Impressions	694163689
Blick	2017-04	Unique Clients	4245000
Blick	2017-04	Nutzungsdauer	0:06:19
Blick	2017-04	Visits	57182523
Blick	2017-04	Visits/UCs	13.5
Blick	2017-05	CH PIs	90-94%
Blick	2017-05	CH Visits	85-89%
Blick	2017-05	PI/Visits	12.7
Blick	2017-05	Page Impressions	754615065
Blick	2017-05	Unique Clients	4327000
Blick	2017-05	Nutzungsdauer	0:06:16
Blick	2017-05	Visits	59491295
Blick	2017-05	Visits/UCs	13.7
Blick	2017-06	CH PIs	90-94%
Blick	2017-06	CH Visits	85-89%
Blick	2017-06	PI/Visits	13.0
Blick	2017-06	Page Impressions	749048990
Blick	2017-06	Unique Clients	4323000
Blick	2017-06	Nutzungsdauer	0:06:19
Blick	2017-06	Visits	57820655
Blick	2017-06	Visits/UCs	13.4
Blick	2017-07	CH PIs	85-89%
Blick	2017-07	CH Visits	85-89%
Blick	2017-07	PI/Visits	13.1
Blick	2017-07	Page Impressions	788494902
Blick	2017-07	Unique Clients	4503000
Blick	2017-07	Nutzungsdauer	0:06:27
Blick	2017-07	Visits	60300026
Blick	2017-07	Visits/UCs	13.4
Blick	2017-08	CH PIs	90-94%
Blick	2017-08	CH Visits	85-89%
Blick	2017-08	PI/Visits	13.0
Blick	2017-08	Page Impressions	811527728
Blick	2017-08	Unique Clients	4568000
Blick	2017-08	Nutzungsdauer	0:06:25
Blick	2017-08	Visits	62310768
Blick	2017-08	Visits/UCs	13.6
Blick	2017-09	CH PIs	90-94%
Blick	2017-09	CH Visits	85-89%
Blick	2017-09	PI/Visits	12.4
Blick	2017-09	Page Impressions	736460785
Blick	2017-09	Unique Clients	4525000
Blick	2017-09	Nutzungsdauer	0:06:19
Blick	2017-09	Visits	59629542
Blick	2017-09	Visits/UCs	13.2
Bluewin	2016-10	CH PIs	90-94%
Bluewin	2016-10	CH Visits	90-94%
Bluewin	2016-10	PI/Visits	5.9
Bluewin	2016-10	Page Impressions	216877784
Bluewin	2016-10	Unique Clients	2856000
Bluewin	2016-10	Nutzungsdauer	0:08:40
Bluewin	2016-10	Visits	37000191
Bluewin	2016-10	Visits/UCs	13.0
Bluewin	2016-11	CH PIs	95-100%
Bluewin	2016-11	CH Visits	90-94%
Bluewin	2016-11	PI/Visits	6.4
Bluewin	2016-11	Page Impressions	243318441
Bluewin	2016-11	Unique Clients	2898000
Bluewin	2016-11	Nutzungsdauer	0:08:37
Bluewin	2016-11	Visits	38093748
Bluewin	2016-11	Visits/UCs	13.1
Bluewin	2016-12	CH PIs	95-100%
Bluewin	2016-12	CH Visits	90-94%
Bluewin	2016-12	PI/Visits	6.0
Bluewin	2016-12	Page Impressions	222123772
Bluewin	2016-12	Unique Clients	2774000
Bluewin	2016-12	Nutzungsdauer	0:08:21
Bluewin	2016-12	Visits	36735800
Bluewin	2016-12	Visits/UCs	13.2
Bluewin	2017-01	CH PIs	95-100%
Bluewin	2017-01	CH Visits	90-94%
Bluewin	2017-01	PI/Visits	6.7
Bluewin	2017-01	Page Impressions	264031114
Bluewin	2017-01	Unique Clients	2971000
Bluewin	2017-01	Nutzungsdauer	0:08:38
Bluewin	2017-01	Visits	39408703
Bluewin	2017-01	Visits/UCs	13.3
Bluewin	2017-02	CH PIs	95-100%
Bluewin	2017-02	CH Visits	90-94%
Bluewin	2017-02	PI/Visits	6.6
Bluewin	2017-02	Page Impressions	235079546
Bluewin	2017-02	Unique Clients	2728000
Bluewin	2017-02	Nutzungsdauer	0:08:33
Bluewin	2017-02	Visits	35530816
Bluewin	2017-02	Visits/UCs	13.0
Bluewin	2017-03	CH PIs	95-100%
Bluewin	2017-03	CH Visits	90-94%
Bluewin	2017-03	PI/Visits	6.3
Bluewin	2017-03	Page Impressions	249390978
Bluewin	2017-03	Unique Clients	2866000
Bluewin	2017-03	Nutzungsdauer	0:08:32
Bluewin	2017-03	Visits	39275606
Bluewin	2017-03	Visits/UCs	13.7
Bluewin	2017-04	CH PIs	95-100%
Bluewin	2017-04	CH Visits	90-94%
Bluewin	2017-04	PI/Visits	6.3
Bluewin	2017-04	Page Impressions	224193379
Bluewin	2017-04	Unique Clients	2678000
Bluewin	2017-04	Nutzungsdauer	0:08:22
Bluewin	2017-04	Visits	35659870
Bluewin	2017-04	Visits/UCs	13.3
Bluewin	2017-05	CH PIs	95-100%
Bluewin	2017-05	CH Visits	90-94%
Bluewin	2017-05	PI/Visits	6.5
Bluewin	2017-05	Page Impressions	246425152
Bluewin	2017-05	Unique Clients	2736000
Bluewin	2017-05	Nutzungsdauer	0:08:19
Bluewin	2017-05	Visits	37922852
Bluewin	2017-05	Visits/UCs	13.9
Bluewin	2017-06	CH PIs	90-94%
Bluewin	2017-06	CH Visits	90-94%
Bluewin	2017-06	PI/Visits	6.3
Bluewin	2017-06	Page Impressions	221765519
Bluewin	2017-06	Unique Clients	2669000
Bluewin	2017-06	Nutzungsdauer	0:08:16
Bluewin	2017-06	Visits	35123218
Bluewin	2017-06	Visits/UCs	13.2
Bluewin	2017-07	CH PIs	90-94%
Bluewin	2017-07	CH Visits	90-94%
Bluewin	2017-07	PI/Visits	6.5
Bluewin	2017-07	Page Impressions	223284721
Bluewin	2017-07	Unique Clients	2594000
Bluewin	2017-07	Nutzungsdauer	0:08:08
Bluewin	2017-07	Visits	34101038
Bluewin	2017-07	Visits/UCs	13.1
Bluewin	2017-08	CH PIs	90-94%
Bluewin	2017-08	CH Visits	90-94%
Bluewin	2017-08	PI/Visits	6.2
Bluewin	2017-08	Page Impressions	220405809
Bluewin	2017-08	Unique Clients	2645000
Bluewin	2017-08	Nutzungsdauer	0:08:16
Bluewin	2017-08	Visits	35265570
Bluewin	2017-08	Visits/UCs	13.3
Bluewin	2017-09	CH PIs	90-94%
Bluewin	2017-09	CH Visits	90-94%
Bluewin	2017-09	PI/Visits	6.2
Bluewin	2017-09	Page Impressions	217243373
Bluewin	2017-09	Unique Clients	2578000
Bluewin	2017-09	Nutzungsdauer	0:08:19
Bluewin	2017-09	Visits	34799580
Bluewin	2017-09	Visits/UCs	13.5
Bluewin	2017-10	CH PIs	90-94%
Bluewin	2017-10	CH Visits	90-94%
Bluewin	2017-10	PI/Visits	6.1
Bluewin	2017-10	Page Impressions	217713223
Bluewin	2017-10	Unique Clients	2605000
Bluewin	2017-10	Nutzungsdauer	0:08:19
Bluewin	2017-10	Visits	35846532
Bluewin	2017-10	Visits/UCs	13.8
Energy.ch	2016-10	CH PIs	85-89%
Energy.ch	2016-10	CH Visits	85-89%
Energy.ch	2016-10	PI/Visits	4.8
Energy.ch	2016-10	Page Impressions	8899646
Energy.ch	2016-10	Unique Clients	296000
Energy.ch	2016-10	Nutzungsdauer	0:06:00
Energy.ch	2016-10	Visits	1836563
Energy.ch	2016-10	Visits/UCs	6.2
Energy.ch	2016-11	CH PIs	90-94%
Energy.ch	2016-11	CH Visits	90-94%
Energy.ch	2016-11	PI/Visits	10.4
Energy.ch	2016-11	Page Impressions	25982684
Energy.ch	2016-11	Unique Clients	422000
Energy.ch	2016-11	Nutzungsdauer	0:05:24
Energy.ch	2016-11	Visits	2489222
Energy.ch	2016-11	Visits/UCs	5.9
Energy.ch	2016-12	CH PIs	85-89%
Energy.ch	2016-12	CH Visits	90-94%
Energy.ch	2016-12	PI/Visits	4.3
Energy.ch	2016-12	Page Impressions	7638281
Energy.ch	2016-12	Unique Clients	272000
Energy.ch	2016-12	Nutzungsdauer	0:06:04
Energy.ch	2016-12	Visits	1776172
Energy.ch	2016-12	Visits/UCs	6.5
Energy.ch	2017-01	CH PIs	85-89%
Energy.ch	2017-01	CH Visits	85-89%
Energy.ch	2017-01	PI/Visits	4.4
Energy.ch	2017-01	Page Impressions	7737495
Energy.ch	2017-01	Unique Clients	296000
Energy.ch	2017-01	Nutzungsdauer	0:05:53
Energy.ch	2017-01	Visits	1777271
Energy.ch	2017-01	Visits/UCs	6.0
Energy.ch	2017-02	CH PIs	85-89%
Energy.ch	2017-02	CH Visits	85-89%
Energy.ch	2017-02	PI/Visits	4.2
Energy.ch	2017-02	Page Impressions	7721734
Energy.ch	2017-02	Unique Clients	323000
Energy.ch	2017-02	Nutzungsdauer	0:05:36
Energy.ch	2017-02	Visits	1834011
